,TipoVeicolo,NUM_FERITI,NUM_MORTI,NUM_ILLESI,NUM_RISERVATA,Deceduto,Latitude,Longitude,DataOraIncidente,QualitaFondoStradale,IntensitaTraffico,UtilizzoProtezioni
16455,Autovettura,1,0,1,0,0.0,41.8463,12.4912,2019-07-10 10:00:00,1,2,0
16454,Autovettura,1,0,1,0,0.0,41.8463,12.4912,2019-07-10 10:00:00,1,2,1
16453,Motociclo,1,0,1,0,0.0,41.884,12.5174,2019-07-10 08:30:00,1,2,1
16452,Autocarro,1,0,1,0,0.0,41.884,12.5174,2019-07-10 08:30:00,1,2,1
16450,Autovettura,1,0,2,0,0.0,41.8045,12.4548,2019-07-09 17:31:00,1,3,0
16423,Autovettura,2,0,1,0,0.0,41.9506,12.5063,2019-07-09 19:30:00,1,2,0
16422,Autovettura,2,0,1,0,0.0,41.9506,12.5063,2019-07-09 19:30:00,1,2,0
16421,Motociclo,1,0,0,0,0.0,41.7602,12.3553,2019-07-09 16:50:00,1,1,1
16392,Autocarro,1,0,1,0,0.0,41.8965,12.4953,2019-07-09 17:35:00,1,2,1
16391,Motociclo,1,0,1,0,0.0,41.8965,12.4953,2019-07-09 17:35:00,1,2,0
16390,Autovettura,1,0,1,0,0.0,41.8965,12.4953,2019-07-09 17:35:00,1,2,1
16389,Autovettura,2,0,2,0,0.0,42.0132,12.3653,2019-07-09 20:20:00,1,2,0
16388,Autovettura,2,0,2,0,0.0,42.0132,12.3653,2019-07-09 20:20:00,1,2,0
16387,Autovettura,2,0,2,0,0.0,42.0132,12.3653,2019-07-09 20:20:00,1,2,0
16386,Autovettura,2,0,2,0,0.0,42.0132,12.3653,2019-07-09 20:20:00,1,2,0
16385,Autovettura,1,0,0,0,0.0,41.8312,12.5681,2019-07-10 00:15:00,1,1,0
16384,Autovettura,0,0,1,0,0.0,41.9123,12.4702,2019-07-08 16:00:00,1,2,1
16383,Autovettura,1,0,3,0,0.0,41.9683,12.5351,2019-07-09 10:45:00,1,1,0
16382,Autovettura,1,0,3,0,0.0,41.9683,12.5351,2019-07-09 10:45:00,1,1,1
16381,Autovettura,1,0,3,0,0.0,41.9683,12.5351,2019-07-09 10:45:00,1,1,1
16380,Autovettura,1,0,3,0,0.0,41.9683,12.5351,2019-07-09 10:45:00,1,1,1
16379,Autovettura,0,0,7,0,0.0,41.7311,12.2778,2019-07-09 19:00:00,1,1,0
16378,Autovettura,0,0,7,0,0.0,41.7311,12.2778,2019-07-09 19:00:00,1,1,0
16377,Autovettura,0,0,7,0,0.0,41.7311,12.2778,2019-07-09 19:00:00,1,1,0
16376,Autovettura,0,0,7,0,0.0,41.7311,12.2778,2019-07-09 19:00:00,1,1,0
16375,Autovettura,0,0,7,0,0.0,41.7311,12.2778,2019-07-09 19:00:00,1,1,0
16374,Autovettura,0,0,7,0,0.0,41.7311,12.2778,2019-07-09 19:00:00,1,1,0
16373,Autovettura,0,0,3,0,0.0,41.9473,12.468,2019-07-09 19:17:00,1,2,0
16372,Autovettura,0,0,3,0,0.0,41.9473,12.468,2019-07-09 19:17:00,1,2,0
16371,Autovettura,0,0,3,0,0.0,41.9473,12.468,2019-07-09 19:17:00,1,2,0
16370,Autovettura,1,0,0,0,0.0,41.9923,12.5141,2019-07-10 01:30:00,1,2,0
16393,Autovettura,1,0,0,0,0.0,41.9461,12.5471,2019-07-09 23:40:00,1,1,0
16394,Autovettura,1,0,0,0,0.0,41.9461,12.5471,2019-07-09 23:40:00,1,1,1
16395,Autovettura,1,0,0,0,0.0,41.9461,12.5471,2019-07-09 23:40:00,1,1,1
16396,Autovettura,1,0,0,0,0.0,41.9461,12.5471,2019-07-09 23:40:00,1,1,1
16420,Autovettura,0,0,2,0,0.0,41.8722,12.4816,2019-07-10 08:45:00,1,2,0
16419,Autovettura,0,0,2,0,0.0,41.8722,12.4816,2019-07-10 08:45:00,1,2,0
16418,Autovettura,0,0,4,0,0.0,41.9051,12.504,2019-07-10 03:30:00,1,1,1
16417,Motociclo,0,0,4,0,0.0,41.9051,12.504,2019-07-10 03:30:00,1,1,1
16416,Autovettura,0,0,4,0,0.0,41.9051,12.504,2019-07-10 03:30:00,1,1,1
16415,Autovettura,0,0,4,0,0.0,41.9051,12.504,2019-07-10 03:30:00,1,1,0
16414,Autovettura,0,0,4,0,0.0,41.9051,12.504,2019-07-10 03:30:00,1,1,0
16413,Autovettura,0,0,4,0,0.0,41.9051,12.504,2019-07-10 03:30:00,1,1,0
16412,Autovettura,0,0,2,0,0.0,,,2019-07-09 17:55:00,1,1,0
16411,Autovettura,0,0,2,0,0.0,,,2019-07-09 17:55:00,1,1,0
16410,Motociclo,0,0,3,0,0.0,41.9405,12.5244,2019-07-09 22:15:00,1,2,1
16475,Motociclo,1,0,1,0,0.0,41.7929,12.4806,2019-07-09 16:20:00,1,1,1
16409,Autovettura,0,0,3,0,0.0,41.9405,12.5244,2019-07-09 22:15:00,1,2,1
16407,Motociclo,0,0,2,0,0.0,41.7557,12.3688,2019-07-09 16:20:00,1,2,0
16406,Autovettura,0,0,2,0,0.0,41.7557,12.3688,2019-07-09 16:20:00,1,2,0
16405,Autovettura,1,0,0,0,0.0,41.8447,12.5945,2019-07-10 08:30:00,1,1,1
16404,Autovettura,1,0,0,0,0.0,41.8447,12.5945,2019-07-10 08:30:00,1,1,0
16403,Autovettura,0,0,3,0,0.0,41.7832,12.3655,2019-07-09 07:20:00,1,2,0
16402,Autovettura,0,0,3,0,0.0,41.7832,12.3655,2019-07-09 07:20:00,1,2,0
16401,Autovettura,0,0,3,0,0.0,41.7832,12.3655,2019-07-09 07:20:00,1,2,0
16400,Autovettura,0,0,2,0,0.0,41.891,12.5625,2019-07-09 15:50:00,1,2,1
16399,Autovettura,0,0,2,0,0.0,41.891,12.5625,2019-07-09 15:50:00,1,2,1
16398,Autovettura,1,0,0,0,0.0,41.9461,12.5471,2019-07-09 23:40:00,1,1,1
16397,Autovettura,1,0,0,0,0.0,41.9461,12.5471,2019-07-09 23:40:00,1,1,1
16408,Autovettura,0,0,3,0,0.0,41.9405,12.5244,2019-07-09 22:15:00,1,2,1
16369,Autovettura,0,0,2,0,0.0,41.8638,12.548,2019-07-09 20:00:00,1,2,0
16476,Autovettura,0,0,3,0,0.0,41.8666,12.4441,2019-07-09 12:30:00,3,2,1
16478,Autocarro,0,0,3,0,0.0,41.8666,12.4441,2019-07-09 12:30:00,3,2,1
16556,Autovettura,0,0,3,0,0.0,41.7295,12.2845,2019-07-10 19:42:00,1,2,0
16555,Autovettura,0,0,3,0,0.0,41.9507,12.4857,2019-07-10 10:00:00,1,2,0
16554,Autovettura,0,0,3,0,0.0,41.9507,12.4857,2019-07-10 10:00:00,1,2,0
16553,Autovettura,0,0,3,0,0.0,41.9507,12.4857,2019-07-10 10:00:00,1,2,0
16552,Autovettura,0,0,4,0,0.0,41.7364,12.3457,2019-07-10 18:40:00,1,2,0
16551,Autovettura,0,0,4,0,0.0,41.7364,12.3457,2019-07-10 18:40:00,1,2,0
16550,Autovettura,0,0,4,0,0.0,41.7364,12.3457,2019-07-10 18:40:00,1,2,0
16549,Autovettura,0,0,4,0,0.0,41.7364,12.3457,2019-07-10 18:40:00,1,2,0
16548,Motociclo,1,0,2,0,0.0,41.7454,12.3574,2019-07-10 14:10:00,1,2,1
16547,Autovettura,1,0,2,0,0.0,41.7454,12.3574,2019-07-10 14:10:00,1,2,1
16546,Autovettura,1,0,2,0,0.0,41.7454,12.3574,2019-07-10 14:10:00,1,2,0
16545,Autovettura,0,0,2,0,0.0,41.7689,12.3564,2019-07-10 10:35:00,1,3,0
16544,Autovettura,0,0,2,0,0.0,41.7689,12.3564,2019-07-10 10:35:00,1,3,0
