,TipoVeicolo,NUM_FERITI,NUM_MORTI,NUM_ILLESI,NUM_RISERVATA,Deceduto,Latitude,Longitude,DataOraIncidente,QualitaFondoStradale,IntensitaTraffico,UtilizzoProtezioni,Severity
38744,Autovettura,1,0,0,0,0.0,41.9141,12.4443,2020-10-03 03:50:00,1.0,1,1,1
38745,Autovettura,1,0,0,0,0.0,41.9141,12.4443,2020-10-03 03:50:00,1.0,1,1,1
38746,Autovettura,1,0,0,0,0.0,41.9141,12.4443,2020-10-03 03:50:00,1.0,1,1,1
38747,Autovettura,2,0,0,0,0.0,41.856,12.5711,2020-10-03 04:20:00,1.0,1,0,2
38748,Autovettura,2,0,0,0,0.0,41.856,12.5711,2020-10-03 04:20:00,1.0,1,0,2
38749,Autovettura,1,0,1,0,0.0,41.9609,12.4792,2020-10-04 07:35:00,3.0,2,1,1
38750,Autovettura,1,0,1,0,0.0,41.9609,12.4792,2020-10-04 07:35:00,3.0,2,1,1
38751,Autovettura,1,0,1,0,0.0,41.9129,12.5381,2020-10-03 11:20:00,1.0,2,1,1
38752,Autovettura,1,0,1,0,0.0,41.9129,12.5381,2020-10-03 11:20:00,1.0,2,0,1
38753,Autovettura,0,0,5,0,0.0,41.959,12.5736,2020-10-04 02:45:00,2.0,1,0,1
38754,Autovettura,0,0,5,0,0.0,41.959,12.5736,2020-10-04 02:45:00,2.0,1,1,1
38755,Autovettura,0,0,5,0,0.0,41.959,12.5736,2020-10-04 02:45:00,2.0,1,1,1
38756,Autovettura,0,0,5,0,0.0,41.959,12.5736,2020-10-04 02:45:00,2.0,1,1,1
38757,Autovettura,0,0,2,0,0.0,41.8228,12.6069,2020-10-03 08:45:00,1.0,2,0,1
38758,Autovettura,0,0,2,0,0.0,41.8228,12.6069,2020-10-03 08:45:00,1.0,2,0,1
38759,Autovettura,0,0,3,0,0.0,41.9397,12.4741,2020-10-04 11:20:00,3.0,1,0,1
38760,Autovettura,0,0,3,0,0.0,41.9397,12.4741,2020-10-04 11:20:00,3.0,1,0,1
38787,Autovettura,1,0,4,0,0.0,41.881,12.5693,2020-10-04 04:00:00,2.0,2,1,1
38841,Autovettura,0,0,2,0,0.0,41.9374,12.4271,2020-10-03 19:30:00,1.0,3,1,1
38788,Autovettura,1,0,4,0,0.0,41.881,12.5693,2020-10-04 04:00:00,2.0,2,1,1
